accession,source_experiment,reason_excluded,n_sources
GCF_059424735.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_059508655.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_059683705.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_059729245.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_059878295.1,M60_selected;M60_truth_final;decision_authority_poc_v5;known_failure_rescue_v5,prior_development_or_evaluation_or_reference_exposure,4
GCF_059917585.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_060026665.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_060276355.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_060343445.1,M60_selected;M60_truth_final;known_failure_rescue_v5;single_rescue_challenge_v5,prior_development_or_evaluation_or_reference_exposure,4
GCF_060416925.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_060694225.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_060938735.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_964023145.2,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_964283505.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_965183925.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_965234685.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_965236745.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_965253375.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_965275775.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_977971445.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_984667895.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_987210895.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_988231885.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_988232335.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_988233015.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_988234735.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_988235165.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
