N,q_discordance,p_agentic_favours,expected_discordant_pairs,alpha,test,power,powered_ge_0.80
120,0.20,0.75,24.0,0.05,exact_two_sided_mcnemar_binomial,0.633397,NO
120,0.20,0.80,24.0,0.05,exact_two_sided_mcnemar_binomial,0.818916,YES
120,0.20,0.85,24.0,0.05,exact_two_sided_mcnemar_binomial,0.937586,YES
120,0.30,0.60,36.0,0.05,exact_two_sided_mcnemar_binomial,0.175563,NO
120,0.30,0.65,36.0,0.05,exact_two_sided_mcnemar_binomial,0.373700,NO
120,0.30,0.70,36.0,0.05,exact_two_sided_mcnemar_binomial,0.621115,NO
120,0.30,0.75,36.0,0.05,exact_two_sided_mcnemar_binomial,0.833380,YES
120,0.30,0.80,36.0,0.05,exact_two_sided_mcnemar_binomial,0.952541,YES
120,0.30,0.85,36.0,0.05,exact_two_sided_mcnemar_binomial,0.992655,YES
120,0.40,0.60,48.0,0.05,exact_two_sided_mcnemar_binomial,0.240139,NO
120,0.40,0.65,48.0,0.05,exact_two_sided_mcnemar_binomial,0.501438,NO
120,0.40,0.70,48.0,0.05,exact_two_sided_mcnemar_binomial,0.769732,NO
120,0.40,0.75,48.0,0.05,exact_two_sided_mcnemar_binomial,0.934352,YES
120,0.40,0.80,48.0,0.05,exact_two_sided_mcnemar_binomial,0.990221,YES
120,0.40,0.85,48.0,0.05,exact_two_sided_mcnemar_binomial,0.999411,YES
120,0.50,0.60,60.0,0.05,exact_two_sided_mcnemar_binomial,0.297897,NO
120,0.50,0.65,60.0,0.05,exact_two_sided_mcnemar_binomial,0.604633,NO
120,0.50,0.70,60.0,0.05,exact_two_sided_mcnemar_binomial,0.862234,YES
120,0.50,0.75,60.0,0.05,exact_two_sided_mcnemar_binomial,0.974995,YES
120,0.50,0.80,60.0,0.05,exact_two_sided_mcnemar_binomial,0.998114,YES
120,0.50,0.85,60.0,0.05,exact_two_sided_mcnemar_binomial,0.999959,YES
